,state,participation,score,high_participation,year,test
119,maryland,0.28,22.3,False,2019,ACT
120,massachusetts,0.21,25.5,False,2019,ACT
121,michigan,0.19,24.4,False,2019,ACT
122,minnesota,0.95,21.4,True,2019,ACT
123,mississippi,1.0,18.4,True,2019,ACT
124,missouri,0.82,20.8,False,2019,ACT
125,montana,1.0,19.8,True,2019,ACT
126,nebraska,1.0,20.0,True,2019,ACT
127,nevada,1.0,17.9,True,2019,ACT
128,new hampshire,0.14,25.0,False,2019,ACT
129,new jersey,0.25,24.2,False,2019,ACT
130,new mexico,0.63,19.3,False,2019,ACT
131,new york,0.22,24.5,False,2019,ACT
132,north carolina,1.0,19.0,True,2019,ACT
133,north dakota,0.96,19.9,True,2019,ACT
134,ohio,1.0,20.0,True,2019,ACT
135,oklahoma,1.0,18.9,True,2019,ACT
136,oregon,0.42,21.1,False,2019,ACT
137,pennsylvania,0.17,23.6,False,2019,ACT
138,rhode island,0.12,24.7,False,2019,ACT
139,south carolina,0.78,18.8,False,2019,ACT
140,south dakota,0.75,21.6,False,2019,ACT
141,tennessee,1.0,19.4,True,2019,ACT
142,texas,0.39,20.5,False,2019,ACT
143,utah,1.0,20.3,True,2019,ACT
144,vermont,0.2,24.1,False,2019,ACT
145,virginia,0.21,24.0,False,2019,ACT
146,washington,0.24,22.1,False,2019,ACT
147,west virginia,0.49,20.8,False,2019,ACT
148,wisconsin,1.0,20.3,True,2019,ACT
149,wyoming,1.0,19.8,True,2019,ACT
150,alabama,0.05,1165.0,False,2017,SAT
151,alaska,0.38,1080.0,False,2017,SAT
152,arizona,0.3,1116.0,False,2017,SAT
153,arkansas,0.03,1208.0,False,2017,SAT
154,california,0.53,1055.0,False,2017,SAT
155,colorado,0.11,1201.0,False,2017,SAT
156,connecticut,1.0,1041.0,True,2017,SAT
157,delaware,1.0,996.0,True,2017,SAT
158,florida,0.83,1017.0,False,2017,SAT
159,georgia,0.61,1050.0,False,2017,SAT
160,hawaii,0.55,1085.0,False,2017,SAT
161,idaho,0.93,1005.0,True,2017,SAT
162,illinois,0.09,1115.0,False,2017,SAT
163,indiana,0.63,1074.0,False,2017,SAT
164,iowa,0.02,1275.0,False,2017,SAT
165,kansas,0.04,1260.0,False,2017,SAT
166,kentucky,0.04,1247.0,False,2017,SAT
167,louisiana,0.04,1198.0,False,2017,SAT
168,maine,0.95,1012.0,True,2017,SAT
169,maryland,0.69,1060.0,False,2017,SAT
170,massachusetts,0.76,1107.0,False,2017,SAT
171,michigan,1.0,1005.0,True,2017,SAT
172,minnesota,0.03,1295.0,False,2017,SAT
173,mississippi,0.02,1242.0,False,2017,SAT
174,missouri,0.03,1271.0,False,2017,SAT
175,montana,0.1,1196.0,False,2017,SAT
176,nebraska,0.03,1253.0,False,2017,SAT
177,nevada,0.26,1116.0,False,2017,SAT
178,new hampshire,0.96,1052.0,True,2017,SAT
179,new jersey,0.7,1056.0,False,2017,SAT
180,new mexico,0.11,1138.0,False,2017,SAT
181,new york,0.67,1052.0,False,2017,SAT
182,north carolina,0.49,1081.0,False,2017,SAT
183,north dakota,0.02,1256.0,False,2017,SAT
184,ohio,0.12,1149.0,False,2017,SAT
185,oklahoma,0.07,1047.0,False,2017,SAT
186,oregon,0.43,1108.0,False,2017,SAT
187,pennsylvania,0.65,1071.0,False,2017,SAT
188,rhode island,0.71,1062.0,False,2017,SAT
189,south carolina,0.5,1064.0,False,2017,SAT
190,south dakota,0.03,1216.0,False,2017,SAT
191,tennessee,0.05,1228.0,False,2017,SAT
192,texas,0.62,1020.0,False,2017,SAT
193,utah,0.03,1238.0,False,2017,SAT
194,vermont,0.6,1114.0,False,2017,SAT
