,state,participation,score,high_participation,year,test,hdi,diversity_metric,population_density
69,ohio,0.19,1097.0,False,2019,SAT,0.919,0.67834899,111.0
70,oklahoma,1.0,18.9,True,2019,ACT,0.901,0.54553913,22.3
71,oklahoma,0.22,963.0,False,2019,SAT,0.901,0.54553913,22.3
72,oregon,0.42,21.1,False,2019,ACT,0.936,0.71909916,17.0
73,oregon,0.51,1112.0,False,2019,SAT,0.936,0.71909916,17.0
74,pennsylvania,0.17,23.6,False,2019,ACT,0.928,0.66433609,112.0
75,pennsylvania,0.7,1082.0,False,2019,SAT,0.928,0.66433609,112.0
76,rhode island,0.12,24.7,False,2019,ACT,0.93,0.6608900900000001,410.0
77,rhode island,1.0,995.0,True,2019,SAT,0.93,0.6608900900000001,410.0
78,south carolina,0.78,18.8,False,2019,ACT,0.898,0.5246257200000001,65.7
79,south carolina,0.68,1030.0,False,2019,SAT,0.898,0.5246257200000001,65.7
80,south dakota,0.75,21.6,False,2019,ACT,0.932,0.71960441,4.5
81,south dakota,0.03,1268.0,False,2019,SAT,0.932,0.71960441,4.5
82,tennessee,1.0,19.4,True,2019,ACT,0.901,0.63155094,64.7
83,tennessee,0.07,1220.0,False,2019,SAT,0.901,0.63155094,64.7
84,texas,0.39,20.5,False,2019,ACT,0.917,0.5714416,43.1
85,texas,0.68,1022.0,False,2019,SAT,0.917,0.5714416,43.1
86,utah,1.0,20.3,True,2019,ACT,0.935,0.754421,15.4
87,utah,0.04,1230.0,False,2019,SAT,0.935,0.754421,15.4
88,vermont,0.2,24.1,False,2019,ACT,0.94,0.88766557,26.9
89,vermont,0.66,1106.0,False,2019,SAT,0.94,0.88766557,26.9
90,virginia,0.21,24.0,False,2019,ACT,0.936,0.50242062,84.4
91,virginia,0.68,1119.0,False,2019,SAT,0.936,0.50242062,84.4
92,washington,0.24,22.1,False,2019,ACT,0.946,0.58785418,44.8
93,washington,0.7,1074.0,False,2019,SAT,0.946,0.58785418,44.8
94,west virginia,0.49,20.8,False,2019,ACT,0.882,0.8683066999999999,28.8
95,west virginia,0.99,943.0,True,2019,SAT,0.882,0.8683066999999999,28.8
96,wisconsin,1.0,20.3,True,2019,ACT,0.934,0.7367664399999999,42.0
97,wisconsin,0.03,1283.0,False,2019,SAT,0.934,0.7367664399999999,42.0
98,wyoming,1.0,19.8,True,2019,ACT,0.938,0.8386454500000001,2.3
99,wyoming,0.03,1238.0,False,2019,SAT,0.938,0.8386454500000001,2.3
