iter	Logloss
0	0.6732456478
1	0.6528093363
2	0.6383776886
3	0.6260542566
4	0.6106880058
5	0.5993261992
6	0.5892059467
7	0.5763799771
8	0.5700090602
9	0.5627047084
10	0.55248326
11	0.5438699029
12	0.5359494455
13	0.5279674421
14	0.5201924012
15	0.5156102225
16	0.5090637412
17	0.5059955663
18	0.5009959514
19	0.4957594659
20	0.4915875723
21	0.4847980821
22	0.4801123414
23	0.4778409061
24	0.4754848074
25	0.473282322
26	0.4713762656
27	0.4692532746
28	0.4677042131
29	0.4635523338
30	0.4603138933
31	0.4586655932
32	0.4575375358
33	0.4550027971
34	0.4534235004
35	0.4518728439
36	0.4504112346
37	0.4492130278
38	0.4468499003
39	0.4450215744
40	0.4420148644
41	0.4389083926
42	0.4372074164
43	0.4360161846
44	0.4351171101
45	0.4341028296
46	0.4316650588
47	0.4307397944
48	0.4297625911
49	0.428943123
50	0.4281945444
51	0.4272961921
52	0.4264994656
53	0.4255866403
54	0.4246972371
55	0.4238930225
56	0.4209423874
57	0.4202341987
58	0.4184943484
59	0.4176943323
60	0.4171244815
61	0.4163208607
62	0.4156928163
63	0.4151704445
64	0.4123025353
65	0.4116530124
66	0.4111326671
67	0.4106327065
68	0.410064423
69	0.4093927578
70	0.4079194507
71	0.4071979343
72	0.4049307205
73	0.404243961
74	0.4036749727
75	0.4029464197
76	0.4023819675
77	0.4017167778
78	0.401306318
79	0.4004407648
80	0.3998376532
81	0.3992514604
82	0.3986828104
83	0.3980245488
84	0.3975380076
85	0.3956994507
86	0.3951159068
87	0.3943695167
88	0.3939147645
89	0.3917160978
90	0.391270638
91	0.3904685191
92	0.3897104328
93	0.3892239889
94	0.3887286557
95	0.3881935581
96	0.3877042782
97	0.3872195507
98	0.3858528081
99	0.3853964582
100	0.3848542114
101	0.384288257
102	0.3838240427
103	0.381846126
104	0.3814498891
105	0.380920821
106	0.3804754371
107	0.3800602292
108	0.3796352106
109	0.3780272437
110	0.3775651616
111	0.3771032052
112	0.3766018887
113	0.3761745506
114	0.3758182699
115	0.3754110043
116	0.3750079212
117	0.3739812828
118	0.3734790838
119	0.3729905347
120	0.3726559111
121	0.3722602281
122	0.3719363486
123	0.3715974432
124	0.3711544566
125	0.3708291711
126	0.3703797526
127	0.3700218317
128	0.369637002
129	0.369198038
130	0.3688246232
131	0.3684928356
132	0.3681358431
133	0.3677087075
134	0.3673556076
135	0.3669732342
136	0.3666337742
137	0.3663226503
138	0.3658348729
139	0.3654802698
140	0.3651617261
141	0.3647498747
142	0.3644338949
143	0.3640756368
144	0.3637530333
145	0.3634020551
146	0.3630448795
147	0.3626781311
148	0.3622882879
149	0.3619333998
150	0.3614898106
151	0.3611839022
152	0.3608762974
153	0.360599922
154	0.3602188786
155	0.3590393164
156	0.3586580819
157	0.3582655061
158	0.357948011
159	0.3572971135
160	0.3569091748
161	0.3565931268
162	0.356145493
163	0.3558115847
164	0.3555434222
165	0.355187794
166	0.354821445
167	0.354490689
168	0.354196386
169	0.3536798817
170	0.3534885785
171	0.3531706718
172	0.3527856152
173	0.3523816112
174	0.3520497865
175	0.3517284102
176	0.3513701745
177	0.3511220636
178	0.3507878364
179	0.3504911863
180	0.3502719182
181	0.3499384535
182	0.349650487
183	0.3493628822
184	0.349006616
185	0.3486611228
186	0.3483344074
187	0.3479954438
188	0.3476883324
189	0.3473436347
190	0.346989416
191	0.3466516233
192	0.3463519783
193	0.3460704074
194	0.3458382183
195	0.3455822296
196	0.3453235772
197	0.3449955466
198	0.3447587297
199	0.3444365257
200	0.3441853879
201	0.343916502
202	0.3436832157
203	0.3434423532
204	0.3431825202
205	0.3429198153
206	0.3426908194
207	0.3423758171
208	0.3421207359
209	0.3418292428
210	0.3415926583
211	0.3413039871
212	0.3410630541
213	0.3407454002
214	0.3404691473
215	0.3400842838
216	0.3398109477
217	0.3395186725
218	0.3392565656
219	0.3389527823
220	0.33863481
221	0.3384202397
222	0.3381758071
223	0.3379315129
224	0.3376421697
225	0.3373520222
226	0.337085815
227	0.3368054759
228	0.3365354736
229	0.3362729986
230	0.3359688555
231	0.3356676942
232	0.3353912862
233	0.3352259797
234	0.3348986231
235	0.3345673451
236	0.3342986274
237	0.3341415213
238	0.3339032745
239	0.3335830015
240	0.3333347244
241	0.3330895933
242	0.3327913138
243	0.3325707468
244	0.3323134257
245	0.3319410311
246	0.3316501916
247	0.3313488541
248	0.3310684514
249	0.3307850539
250	0.3305205616
251	0.3302571242
252	0.3299788279
253	0.3297351324
254	0.3295216992
255	0.3292808186
256	0.3290302234
257	0.3287585029
258	0.3285153207
259	0.3282190877
260	0.3279474041
261	0.327665197
262	0.3273781057
263	0.3271321563
264	0.3268085739
265	0.3265345178
266	0.3262506013
267	0.3259932734
268	0.3257321866
269	0.3254122846
270	0.3251527788
271	0.3248642975
272	0.3245587836
273	0.3242781426
274	0.3239994882
275	0.3237851392
276	0.3235543642
277	0.3233412093
278	0.3230760506
279	0.3227787154
280	0.3225415823
281	0.3222686922
282	0.3219815322
283	0.3217086093
284	0.3213849866
285	0.3211216551
286	0.3208232274
287	0.3205707782
288	0.3202464823
289	0.3198971011
290	0.3196699165
291	0.3193794175
292	0.3191572471
293	0.3188373694
294	0.3185747153
295	0.318286662
296	0.3180722162
297	0.3177998162
298	0.3175407496
299	0.3172472946
300	0.3170142913
301	0.316629352
302	0.3163129812
303	0.3160259458
304	0.3157643919
305	0.3155193663
306	0.3151927006
307	0.3148882181
308	0.3146668335
309	0.3144247632
310	0.3139802088
311	0.3136306124
312	0.3133810261
313	0.3130791745
314	0.3127812564
315	0.3125041103
316	0.3121423103
317	0.3118222767
318	0.3115345048
319	0.3112357804
320	0.3108993566
321	0.3098881832
322	0.3095747187
323	0.3093898822
324	0.3091225777
325	0.3086762393
326	0.3084642941
327	0.3082348521
328	0.3075000151
329	0.3071505667
330	0.3068458619
331	0.3065789624
332	0.3062438857
333	0.3059774377
334	0.305673568
