iter	Passed	Remaining
400	35949	53700
401	36032	53600
402	36115	53501
403	36198	53401
404	36274	53292
405	36353	53187
406	36436	53088
407	36515	52983
408	36602	52889
409	36682	52787
410	36768	52692
411	36846	52586
412	36925	52481
413	36999	52371
414	37076	52263
415	37154	52159
416	37231	52052
417	37309	51947
418	37386	51840
419	37468	51741
420	37544	51635
421	37621	51528
422	37699	51425
423	37791	51338
424	37874	51242
425	37953	51139
426	38038	51044
427	38121	50948
428	38204	50850
429	38290	50757
430	38377	50664
431	38459	50567
432	38543	50471
433	38623	50371
434	38703	50269
435	38789	50177
436	38868	50075
437	38940	49965
438	39014	49856
439	39092	49753
440	39168	49649
441	39244	49543
442	39327	49447
443	39410	49351
444	39487	49248
445	39566	49147
446	39644	49045
447	39726	48948
448	39816	48861
449	39898	48764
450	39980	48667
451	40066	48576
452	40151	48482
453	40234	48387
454	40313	48287
455	40401	48198
456	40486	48105
457	40563	48003
458	40641	47901
459	40726	47809
460	40813	47718
461	40886	47611
462	40958	47505
463	41035	47402
464	41111	47300
465	41192	47203
466	41278	47112
467	41359	47015
468	41437	46915
469	41519	46820
470	41599	46722
471	41678	46623
472	41755	46522
473	41850	46441
474	41934	46348
475	42014	46251
476	42098	46158
477	42180	46062
478	42258	45963
479	42340	45869
480	42422	45774
481	42502	45677
482	42579	45576
483	42659	45479
484	42737	45380
485	42820	45287
486	42895	45185
487	42971	45084
488	43053	44990
489	43131	44891
490	43208	44792
491	43283	44691
492	43363	44594
493	43440	44495
494	43515	44394
495	43591	44294
496	43667	44194
497	43760	44111
498	43841	44016
499	43920	43920
500	44003	43827
501	44083	43731
502	44164	43637
503	44247	43545
504	44334	43456
505	44418	43364
506	44497	43268
507	44582	43178
508	44657	43078
509	44739	42984
510	44826	42896
511	44904	42799
512	44983	42703
513	45064	42609
514	45145	42515
515	45219	42415
516	45294	42316
517	45373	42220
518	45453	42125
519	45544	42040
520	45626	41948
521	45706	41854
522	45800	41772
523	45885	41682
524	45970	41592
525	46049	41496
526	46130	41403
527	46209	41308
528	46296	41220
529	46379	41128
530	46463	41038
531	46543	40944
532	46623	40850
533	46705	40758
534	46792	40670
535	46869	40573
536	46942	40474
537	47021	40378
538	47102	40286
539	47180	40190
540	47259	40096
541	47338	40001
542	47415	39905
543	47497	39813
544	47575	39719
545	47649	39620
546	47730	39528
547	47821	39443
548	47902	39351
549	47983	39259
550	48063	39165
551	48149	39077
552	48240	38993
553	48322	38902
554	48402	38808
555	48487	38719
556	48569	38628
557	48653	38539
558	48735	38447
559	48815	38354
560	48892	38260
561	48969	38164
562	49045	38069
563	49125	37976
564	49203	37882
565	49281	37787
566	49361	37696
567	49444	37605
568	49519	37509
569	49597	37415
570	49676	37322
571	49765	37236
572	49851	37149
573	49932	37058
574	50016	36968
575	50102	36880
576	50182	36788
577	50263	36697
578	50345	36607
579	50430	36518
580	50511	36427
581	50592	36336
582	50669	36242
583	50757	36156
584	50833	36061
585	50910	35967
586	50982	35870
587	51060	35777
588	51141	35686
589	51236	35604
590	51312	35511
